"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
1,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ARCH_3P_9182880","Colorado River at Highway 191 Bridge near Moab, UT","River/Stream","This station is at Colorado River at Highway 191 Bridge near Moab, UT. This station has additional IDs and station names: USGS-NWIS Site No. 09182880, Colorado River at Highway Bridge nr Moab, UT; and Utah Dept. of Environmental Quality 4957000, Colorado R at US191 Xing near Moab.","REVIEW","Automatically flagged for review","REVIEW",NA,"UT14030005-004_00","Colorado River-4","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,2,2,0,38.6038705,-109.5778956,NA,NA,14030005,NA,NA,NA,NA,0,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
2,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CANY_3P_4956290","Colorado River at Potash Boat Ramp","River/Stream","This station is at Colorado River at Potash Boat Ramp, approximately 900 meters upstream of the Grand County-San Juan County boundary. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional IDs and station names: USGS-NWIS Site No. 383021109393401, Colorado River at Potash Boat Ramp, UT; and Utah Dept. of Environmental Quality no. 4956290, Colorado River at Potash Boat Ramp.","REVIEW","Automatically flagged for review","REVIEW",NA,"UT14030005-003_00","Colorado River-3","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,1,38.50553859,-109.6595616,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
3,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CANY_3P_9328920","Green River at Mineral Bottom","River/Stream","This station is at Green River at Mineral Bottom. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4930150 with a station name of Green R at Mineral Bottoms; and as of May 2014, USGS NWIS Site No. 09328920 Green River at Mineral Bottom nr Cynlnds Ntl Park.","ACCEPT","Automatically accepted","11NPSWRD_WQX-CANY_3P_9328920","Green River at Mineral Bottom","UT14060008-002_00","Green River-5","River/Stream","River / Stream","Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,0,38.52192593,-109.9992916,38.52192593,-109.9992916,14060008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
4,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CANY_3P_CORAMC","Colorado River at Mill Creek near Moab, UT","River/Stream","This station is at Colorado River at Mill Creek near Moab, UT. This site is Colorado River at the mouth of Mill Creek. This station has an additional ID from USGS-NWIS of 383421109343701 with the station name of Colorado River at Mill Creek nr Moab, UT.","REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",NA,NA,NA,NA,38.5724,-109.5769,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
5,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-CANY_3P_MWWTP","Moab Waste Water Treatment Plant Outfall to Colorado River","River/Stream","This station is at Moab Waste Water Treatment Plant Outfall to Colorado River, approximately 1.1 kilometers directly west of the intersection of Holliday Place and Holliday Drive. This station has an additional ID from USGS-NWIS of 383435109343901 with the station name of Moab WWTP Outfall To Colorado River nr Moab, UT.","ACCEPT","Automatically accepted","11NPSWRD_WQX-CANY_3P_MWWTP","Moab Waste Water Treatment Plant Outfall to Colorado River","UT14030005-004_00","Colorado River-4","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,0,38.5763,-109.5775,38.5763,-109.5775,14030005,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
6,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-GLCA_3P_COY01","Coyote Gulch Upstream of Crack-In-The-Wall Trail","River/Stream","This station is at Coyote Gulch upstream of Crack-In-The-Wall Trail. This site is approximately 250 meters upstream of Crack-In-The-Wall Trail. This station has an additional ID from NPS of GLCA_COY01 with a station name of Coyote Gulch Above Crack-In-The-Wall Trail.","ACCEPT","Automatically accepted","11NPSWRD_WQX-GLCA_3P_COY01","Coyote Gulch Upstream of Crack-In-The-Wall Trail","UT14070005-017_00","Coyote Gulch","River/Stream","River / Stream","All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",1,1,1,0,37.427075,-110.989319,37.427075,-110.989319,14070005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",1147,"m",NA,NA,"Unknown","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
7,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-GLCA_3P_ESC02","Escalante River at Coyote Gulch","River/Stream","This station is at Escalante River at Coyote Gulch. This station has additional IDs and station names: USGS-NWIS Site No. 372541110584701, Escalante River at Coyote Gulch; and NPS Station ID GLCA_ESC02, Escalante River above Coyote Gulch.","REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,37.4276963,-110.9808082,NA,NA,14070005,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",1129,"m",NA,NA,"Topographic Map Interpolation","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
8,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_AFRMP","American Fork River, Macroinvertebrate & Pre-Event Station","River/Stream","This station is at American Fork River, Macroinvertebrate and Pre-Event Station. Macroinvertebrates were sampled on the American Fork River in 3 locations: 44.443344N/111.710580W, 40.443925N/111.705347W, and 40.444209N/111.705347W, and the samples were composited. This station is the approximate midpoint of the 3 sites, and 200 meters downstream of the Visitors Center. This station is also the approximate location for samples collected pre-event.","ACCEPT","Automatically accepted","11NPSWRD_WQX-TICA_TFD_AFRMP","American Fork River, Macroinvertebrate & Pre-Event Station","UT16020201-001_00","American Fork River-1","River/Stream","River / Stream","American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,1,1,0,40.443733,-111.707721,40.443733,-111.707721,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
9,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_AFRWS","American Fork River, Water & Sediment Station","River/Stream","This station is at American Fork River, Water and Sediment Station. This station is approximately 750 meters downstream of the Visitors Center. Sediment was sampled above and below the water line at this station.","ACCEPT","Automatically accepted","11NPSWRD_WQX-TICA_TFD_AFRWS","American Fork River, Water & Sediment Station","UT16020201-001_00","American Fork River-1","River/Stream","River / Stream","American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,1,1,0,40.442092,-111.713598,40.442092,-111.713598,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
10,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_SFAFC","South Fork American Fork River, Control Station","River/Stream","This station is at South Fork American Fork River, Control Station for macroinvertebrate sampling. This site is approximately 1.25 kilometers upstream of its confluence with American Fork River.","ACCEPT","Automatically accepted","11NPSWRD_WQX-TICA_TFD_SFAFC","South Fork American Fork River, Control Station","UT16020201-001_00","American Fork River-1","River/Stream","River / Stream","American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,1,1,0,40.4494,-111.705347,40.4494,-111.705347,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
11,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933370","SW-05","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933370","SW-05","UT14060005-009_00","Green River-3","River/Stream","River / Stream","Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,0,39.84248778,-109.9160603,39.84248778,-109.9160603,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
12,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933440","SW-10","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933440","SW-10","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.03125379,-109.7540634,40.03125379,-109.7540634,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
13,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933476","SW-09","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933476","SW-09","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.07213946,-109.8575266,40.07213946,-109.8575266,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
14,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933480","SW-08","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933480","SW-08","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.08271047,-109.8737316,40.08271047,-109.8737316,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
15,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4937020","SW-11","River/Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14060001-004_00","Green River-2","River/Stream","River / Stream","Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,1,40.08496768,-109.6757471,NA,NA,14060010,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
16,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Rye Spring 2","Rye Spring 2","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,39.85574659,110.3122857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
17,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Rye Spring 3","Rye Spring 3","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,39.85453501,110.2910545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
18,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Unnamed Spring 2","Unnamed Spring 2","Spring",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,1,40.012526,-110.008013,NA,NA,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
19,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","NTHRNUTE-DDC","Duchesne River South of Randlett","River/Stream","Below city of Randlett at USGS station.","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-001_00","Duchesne River-1","River/Stream","River / Stream","Duchesne River and tributaries, from confluence with Green River to Myton Water Treatment Plant intake, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,40.21584,-109.78389,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
